2025-10-10 22:51:47 | attendance_ai | INFO | Application started
2025-10-12 00:57:31 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 00:57:32 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 00:57:32 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 00:58:09 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 00:58:10 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 00:58:10 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 00:58:10 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-12 00:58:10 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'cleaned_records': 'N/A', 'unique_students': 'N/A', 'unique_sessions': 494}
2025-10-12 00:58:10 | Agentic_tracking_system | INFO | Clean data exported successfully to C:\Users\a\Desktop\Agentic_tracking_system\data\raw\clean_attendance.csv
2025-10-12 00:59:40 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:59:40 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 00:59:40 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 00:59:40 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 00:59:40 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 00:59:40 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 00:59:40 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 00:59:41 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 00:59:41 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 00:59:41 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 00:59:41 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 00:59:41 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-12 00:59:41 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'cleaned_records': 'N/A', 'unique_students': 'N/A', 'unique_sessions': 494}
2025-10-12 00:59:41 | Agentic_tracking_system | INFO | Clean data exported successfully to C:\Users\a\Desktop\Agentic_tracking_system\data\raw\clean_attendance.csv
2025-10-12 00:59:41 | Agentic_tracking_system | WARNING | No profiles were generated — the dataset might be empty or filtering removed all entries.
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 01:01:11 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 01:01:12 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 01:01:12 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 01:01:12 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-12 01:01:12 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'cleaned_records': 'N/A', 'unique_students': 'N/A', 'unique_sessions': 494}
2025-10-12 01:01:12 | Agentic_tracking_system | INFO | Clean data exported successfully to C:\Users\a\Desktop\Agentic_tracking_system\data\raw\clean_attendance.csv
2025-10-12 01:01:12 | Agentic_tracking_system | WARNING | No profiles were generated — the dataset might be empty or filtering removed all entries.
2025-10-12 01:01:12 | Agentic_tracking_system | WARNING | No profiles generated — skipping profile display.
2025-10-12 01:02:31 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:02:31 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:02:31 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 01:02:31 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 01:02:31 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 01:02:31 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 01:02:31 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 01:02:32 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 01:02:32 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 01:02:32 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 01:02:32 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 01:02:32 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-12 01:02:32 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'cleaned_records': 'N/A', 'unique_students': 'N/A', 'unique_sessions': 494}
2025-10-12 01:02:32 | Agentic_tracking_system | INFO | Clean data exported successfully to C:\Users\a\Desktop\Agentic_tracking_system\data\raw\clean_attendance.csv
2025-10-12 01:02:32 | Agentic_tracking_system | WARNING | No profiles were generated — the dataset might be empty or filtering removed all entries.
2025-10-12 01:02:32 | Agentic_tracking_system | WARNING | No profiles generated — skipping profile display.
2025-10-12 01:02:32 | Agentic_tracking_system | WARNING | No device health records available — the dataset might be empty or not yet computed.
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 01:03:34 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 01:03:35 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 01:03:35 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 01:03:35 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-12 01:03:35 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'cleaned_records': 'N/A', 'unique_students': 'N/A', 'unique_sessions': 494}
2025-10-12 01:03:35 | Agentic_tracking_system | INFO | Clean data exported successfully to C:\Users\a\Desktop\Agentic_tracking_system\data\raw\clean_attendance.csv
2025-10-12 01:03:35 | Agentic_tracking_system | WARNING | No profiles generated — skipping profile display.
2025-10-12 01:03:35 | Agentic_tracking_system | WARNING | No device health records available — skipping device health display.
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-12 01:05:03 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-12 01:05:04 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-12 01:05:04 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-12 01:05:04 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-12 01:05:04 | Agentic_tracking_system | INFO | Preprocessing pipeline completed successfully.
2025-10-12 01:05:04 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'cleaned_records': 'N/A', 'unique_students': 'N/A', 'unique_sessions': 494}
2025-10-12 01:05:04 | Agentic_tracking_system | INFO | Clean data exported successfully to C:\Users\a\Desktop\Agentic_tracking_system\data\raw\clean_attendance.csv
2025-10-12 01:05:04 | Agentic_tracking_system | WARNING | No profiles generated — skipping profile display.
2025-10-12 01:05:04 | Agentic_tracking_system | WARNING | No device health records available — skipping device health display.
2025-10-13 08:49:55 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-13 08:49:55 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-13 08:49:55 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 08:49:55 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 08:49:55 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-13 08:49:55 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Preprocessing pipeline completed successfully.
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'cleaned_records': 'N/A', 'unique_students': 'N/A', 'unique_sessions': 494}
2025-10-13 08:49:56 | Agentic_tracking_system | INFO | Clean data exported successfully to C:\Users\a\Desktop\Agentic_tracking_system\data\raw\clean_attendance.csv
2025-10-13 08:49:56 | Agentic_tracking_system | WARNING | No profiles generated — skipping profile display.
2025-10-13 08:49:56 | Agentic_tracking_system | WARNING | No device health records available — skipping device health display.
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Loaded 44 records from C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | AttendancePreprocessor initialized with file: C:\Users\a\Desktop\Agentic_tracking_system\data\raw\attendance.jsonl
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-13 08:55:51 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Building user profiles...
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Generated 56 user profiles.
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Assessing device health...
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Device health computed for 2 devices.
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Preprocessing pipeline completed successfully.
2025-10-13 08:55:52 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'unique_uids': 56, 'unique_sessions': 494, 'devices_analyzed': 2}
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Loaded 44 records from data/raw/attendance.jsonl
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Building user profiles...
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Generated 56 user profiles.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Assessing device health...
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Device health computed for 2 devices.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Preprocessing pipeline completed successfully.
2025-10-13 10:25:35 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'unique_uids': 56, 'unique_sessions': 494, 'devices_analyzed': 2}
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Loaded 44 records from data/raw/attendance.jsonl
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-13 23:35:01 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Generated 494 session records.
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Building user profiles...
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Generated 56 user profiles.
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Assessing device health...
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Device health computed for 2 devices.
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Preprocessing pipeline completed successfully.
2025-10-13 23:35:02 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'unique_uids': 56, 'unique_sessions': 494, 'devices_analyzed': 2}
2025-10-13 23:43:13 | Agentic_tracking_system | INFO | Loaded 44 records from data/raw/attendance.jsonl
2025-10-13 23:43:13 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 23:43:13 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 23:43:13 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 23:45:52 | Agentic_tracking_system | INFO | Loaded 44 records from data/raw/attendance.jsonl
2025-10-13 23:45:52 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 23:45:52 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 23:45:52 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 23:49:19 | Agentic_tracking_system | INFO | Loaded 44 records from data/raw/attendance.jsonl
2025-10-13 23:49:19 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 23:49:19 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 23:49:19 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 23:49:46 | Agentic_tracking_system | INFO | Loaded 44 records from data/raw/attendance.jsonl
2025-10-13 23:49:46 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 23:49:46 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 23:49:46 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 23:51:02 | Agentic_tracking_system | INFO | Loaded 44 records from data/raw/attendance.jsonl
2025-10-13 23:51:02 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 23:51:02 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 23:51:02 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 23:51:05 | Agentic_tracking_system | INFO | Flattened 542 total log entries.
2025-10-13 23:51:05 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-13 23:51:05 | Agentic_tracking_system | INFO | Detected 24 temporal anomalies.
2025-10-13 23:51:05 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-13 23:51:05 | Agentic_tracking_system | INFO | Detected 3 potentially fake badges.
2025-10-13 23:51:05 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Generated 511 session records.
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Building user profiles...
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Generated 56 user profiles.
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Assessing device health...
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Device health computed for 2 devices.
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Preprocessing pipeline completed successfully.
2025-10-13 23:51:06 | Agentic_tracking_system | INFO | Summary: {'total_records': 542, 'unique_uids': 56, 'unique_sessions': 511, 'devices_analyzed': 2}
2025-10-13 23:52:40 | Agentic_tracking_system | ERROR | Failed to fetch data from https://nodered.lenuage.io/rfid-log.jsonl: HTTPSConnectionPool(host='nodered.lenuage.io', port=443): Max retries exceeded with url: /rfid-log.jsonl (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000002B454B9C7D0>: Failed to resolve 'nodered.lenuage.io' ([Errno 11001] getaddrinfo failed)"))
2025-10-13 23:53:19 | Agentic_tracking_system | ERROR | Failed to fetch data from https://nodered.lenuage.io/rfid-log.jsonl: HTTPSConnectionPool(host='nodered.lenuage.io', port=443): Max retries exceeded with url: /rfid-log.jsonl (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001688D5B44D0>: Failed to resolve 'nodered.lenuage.io' ([Errno 11001] getaddrinfo failed)"))
2025-10-13 23:55:11 | Agentic_tracking_system | INFO | Data fetched successfully and saved to data/raw/attendance.jsonl
2025-10-13 23:55:32 | Agentic_tracking_system | INFO | Loaded 45 records from data/raw/attendance.jsonl
2025-10-13 23:55:32 | Agentic_tracking_system | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-13 23:55:32 | Agentic_tracking_system | INFO | Starting full preprocessing pipeline...
2025-10-13 23:55:32 | Agentic_tracking_system | INFO | Flattening nested attendance logs...
2025-10-13 23:55:33 | Agentic_tracking_system | INFO | Flattened 565 total log entries.
2025-10-13 23:55:33 | Agentic_tracking_system | INFO | Detecting temporal anomalies...
2025-10-13 23:55:33 | Agentic_tracking_system | INFO | Detected 38 temporal anomalies.
2025-10-13 23:55:33 | Agentic_tracking_system | INFO | Detecting fake badge patterns...
2025-10-13 23:55:33 | Agentic_tracking_system | INFO | Detected 5 potentially fake badges.
2025-10-13 23:55:33 | Agentic_tracking_system | INFO | Clustering attendance sessions...
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Generated 529 session records.
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Building user profiles...
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Generated 57 user profiles.
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Assessing device health...
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Device health computed for 2 devices.
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Clean data exported successfully to data/processed/clean_attendance.csv
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Summary report generated successfully.
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Preprocessing pipeline completed successfully.
2025-10-13 23:55:34 | Agentic_tracking_system | INFO | Summary: {'total_records': 565, 'unique_uids': 57, 'unique_sessions': 529, 'devices_analyzed': 2}
2025-10-14 00:04:51 | __main__ | INFO | Loaded 45 records from data/raw/attendance.jsonl
2025-10-14 00:04:52 | __main__ | INFO | Preprocessor initialized with file: data/raw/attendance.jsonl
2025-10-14 00:04:52 | __main__ | INFO | Starting full preprocessing pipeline...
2025-10-14 00:04:52 | __main__ | INFO | Flattening nested attendance logs...
2025-10-14 00:04:52 | __main__ | INFO | Flattened 565 total log entries.
2025-10-14 00:04:52 | __main__ | INFO | Detecting temporal anomalies...
2025-10-14 00:04:52 | __main__ | INFO | Detected 38 temporal anomalies.
2025-10-14 00:04:52 | __main__ | INFO | Detecting fake badge patterns...
2025-10-14 00:04:53 | __main__ | INFO | Detected 5 potentially fake badges.
